Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Document Type,Publication Stage,Access Type,Source,EID
"Albalawi, F., Chahid, A., Guo, X., Albaradei, S., Magana-Mora, A., Jankovic, B.R., Uludag, M., Van Neste, C., Essack, M., Laleg-Kirati, T.-M., Bajic, V.B.","57188572074; 57190392679; 57208271792; 56287028900; 55542494400; 54792087800; 6602926329; 55390200900; 25621234900; 36154679600; 57204328100","Hybrid model for efficient prediction of poly(A) signals in human genomic DNA",2019,"Methods",166,"",,31,39,,,10.1016/j.ymeth.2019.04.001,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85064326020&partnerID=40&md5=eb5a2e3972666a53053d52525f8f520a",Article,Final,Open Access,Scopus,2-s2.0-85064326020
"Wang, L., Gao, C., Zhao, N., Chen, X.","57196330435; 36069040700; 14064192600; 35186822000","A projection wavelet weighted twin support vector regression and its primal solution",2019,"Applied Intelligence",49,"8",,3061,3081,,,10.1007/s10489-019-01422-7,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85062040889&partnerID=40&md5=b67cf1fb8c27c33c4e47fb61d2ebe53c",Article,Final,,Scopus,2-s2.0-85062040889
"Chowdhury, S., Borle, S., Romansky, S., Hindle, A.","57095375100; 57203039156; 56767963500; 21742620300","GreenScaler: training software energy models with automatic test generation",2019,"Empirical Software Engineering",24,"4",,1649,1692,,,10.1007/s10664-018-9640-7,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85050366201&partnerID=40&md5=6da69c305361a780fb8d91266225500f",Article,Final,,Scopus,2-s2.0-85050366201
"Martin, M., Nguyen, T., Yousefi, S., Li, B.","57207757883; 57195936557; 49865060000; 57206245989","Comprehensive features with randomized decision forests for hand segmentation from color images in uncontrolled indoor scenarios",2019,"Multimedia Tools and Applications",78,"15",,20987,21020,,,10.1007/s11042-019-7445-3,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85062879881&partnerID=40&md5=5f75164ffb7381a5d06f551960ab9c71",Article,Final,,Scopus,2-s2.0-85062879881
"Kondo, M., Bezemer, C.-P., Kamei, Y., Hassan, A.E., Mizuno, O.","57192979962; 35742992600; 24476112100; 7402686972; 8931272200","The impact of feature reduction techniques on defect prediction models",2019,"Empirical Software Engineering",24,"4",,1925,1963,,2,10.1007/s10664-018-9679-5,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85060527970&partnerID=40&md5=63d4127c28d756cd99811fd93e05949d",Article,Final,,Scopus,2-s2.0-85060527970
"Ghafouri-Fard, S., Taheri, M., Omrani, M.D., Daaee, A., Mohammad-Rahimi, H., Kazazi, H.","55387443600; 56370131000; 57195610368; 57208331257; 57194972337; 57208338204","Application of Single-Nucleotide Polymorphisms in the Diagnosis of Autism Spectrum Disorders: A Preliminary Study with Artificial Neural Networks",2019,"Journal of Molecular Neuroscience",68,"4",,515,521,,1,10.1007/s12031-019-01311-1,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85064498423&partnerID=40&md5=938f3f51cdca13d5593b064ead307270",Article,Final,,Scopus,2-s2.0-85064498423
"De Keijzer, B., De Visser, P., Romillo, V.G., Muñoz, V.G., Boesten, D., Meezen, M., Rahola, T.B.S.","57210915800; 57210921287; 57210921427; 57210919972; 57210914111; 57210916351; 57210912466","Forecasting residential gas consumption with machine learning algorithms on weather data",2019,"E3S Web of Conferences",111,"", 05019,,,,,10.1051/e3sconf/201911105019,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85071879968&partnerID=40&md5=c8c650108d82a1060f8e6b4761fff621",Conference Paper,Final,Open Access,Scopus,2-s2.0-85071879968
"Hantsch, A., Döge, S.","36238900400; 57194195722","Assessment of micro-organism growth risk on filters with machine learning",2019,"E3S Web of Conferences",111,"", 05017,,,,,10.1051/e3sconf/201911105017,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85071878950&partnerID=40&md5=f2683fea56abe4e6edbc26ee12b50be4",Conference Paper,Final,Open Access,Scopus,2-s2.0-85071878950
"Aguilera, J.J., Toftum, J., Kazanci, O.B.","57209452755; 6601979566; 56089329900","Predicting personal thermal preferences based on data-driven methods",2019,"E3S Web of Conferences",111,"", 05015,,,,,10.1051/e3sconf/201911105015,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85071877309&partnerID=40&md5=fff81f4a646b17d5a0be586e9c65e6e3",Conference Paper,Final,Open Access,Scopus,2-s2.0-85071877309
"Leistedt, B., Hogg, D.W., Wechsler, R.H., Derose, J.","55151435200; 35277937900; 7007139687; 56023664600","Hierarchical Modeling and Statistical Calibration for Photometric Redshifts",2019,"Astrophysical Journal",881,"1", 80,,,,,10.3847/1538-4357/ab2d29,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85071970132&partnerID=40&md5=7b4d6f8472b8a58025456b6351a4c89f",Article,Final,,Scopus,2-s2.0-85071970132
"Belkin, M., Hsu, D., Ma, S., Mandal, S.","57205523518; 57189597817; 55926450100; 38361947900","Reconciling modern machine-learning practice and the classical bias–variance trade-off",2019,"Proceedings of the National Academy of Sciences of the United States of America",116,"32",,15849,15854,,,10.1073/pnas.1903070116,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85070204562&partnerID=40&md5=82e4657a1217c4726a46bac39ba91c78",Article,Final,Open Access,Scopus,2-s2.0-85070204562
"Saber, H., Somai, M., Rajah, G.B., Scalzo, F., Liebeskind, D.S.","54794505100; 57208811899; 37079569100; 8935537800; 7004045734","Predictive analytics and machine learning in stroke and neurovascular medicine",2019,"Neurological Research",41,"8",,681,690,,,10.1080/01616412.2019.1609159,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85069656854&partnerID=40&md5=652701b6006ab6528d1f6faed8736e52",Review,Final,,Scopus,2-s2.0-85069656854
"Kim, H., Kim, Y., Han, B., Jang, J.-Y., Kim, Y.","57202103718; 57208879177; 57210559997; 57209857452; 56080492800","Clinically Applicable Deep Learning Algorithm Using Quantitative Proteomic Data",2019,"Journal of Proteome Research",18,"8",,3195,3202,,,10.1021/acs.jproteome.9b00268,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85070909503&partnerID=40&md5=7fee1cb4c3ef081216564e382ad90b8d",Article,Final,,Scopus,2-s2.0-85070909503
"Kaur, H., Pannu, H.S., Malhi, A.K.","57200649322; 57193135499; 56663163300","A systematic review on imbalanced data challenges in machine learning: Applications and solutions",2019,"ACM Computing Surveys",52,"4", 79,,,,,10.1145/3343440,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85072041413&partnerID=40&md5=b0575cd97b122b4311e9b898c6551648",Review,Final,,Scopus,2-s2.0-85072041413
"Karpatne, A., Ebert-Uphoff, I., Ravela, S., Babaie, H.A., Kumar, V.","37124022100; 6701419569; 16043561300; 6602433445; 35446475800","Machine Learning for the Geosciences: Challenges and Opportunities",2019,"IEEE Transactions on Knowledge and Data Engineering",31,"8", 8423072,1544,1554,,5,10.1109/TKDE.2018.2861006,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85050720052&partnerID=40&md5=0c3697782f8c8cb34634b1d154c21925",Article,Final,,Scopus,2-s2.0-85050720052
"Venkatesh, R., Balasubramanian, C., Kaliappan, M.","57209807491; 35118563100; 55315684100","Development of Big Data Predictive Analytics Model for Disease Prediction using Machine learning Technique",2019,"Journal of Medical Systems",43,"8", 272,,,,,10.1007/s10916-019-1398-y,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85068793350&partnerID=40&md5=9836be0bae93e1ffc45beff85bf29bd1",Article,Final,,Scopus,2-s2.0-85068793350
"Huang, Y.-S., Han, L.","57211012861; 57211013030","Short-term Passenger Flow Prediction Method on Bus Stop Based on Improved Extreme Learning Machine | 基于改进极限学习机的公交站点短时客流预测方法",2019,"Jiaotong Yunshu Xitong Gongcheng Yu Xinxi/Journal of Transportation Systems Engineering and Information Technology",19,"4",,115,123,,,10.16097/j.cnki.1009-6744.2019.04.017,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85072246281&partnerID=40&md5=e0463a7991b029669ba66d829137929f",Article,Final,,Scopus,2-s2.0-85072246281
"Davoudi Kakhki, F., Freeman, S.A., Mosher, G.A.","57208386309; 7202138728; 8062211400","Evaluating machine learning performance in predicting injury severity in agribusiness industries",2019,"Safety Science",117,"",,257,262,,,10.1016/j.ssci.2019.04.026,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85064597622&partnerID=40&md5=97ce0764f05beea8de1dbed627436d2f",Article,Final,Open Access,Scopus,2-s2.0-85064597622
"Sun, J., Xiao, K., Liu, C., Zhou, W., Xiong, H.","57193167927; 56355334100; 50161977300; 55475954300; 7201935465","Exploiting intra-day patterns for market shock prediction: A machine learning approach",2019,"Expert Systems with Applications",127,"",,272,281,,1,10.1016/j.eswa.2019.03.006,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85062951358&partnerID=40&md5=4abd2b8d612cbfd615a657bdc350265b",Article,Final,,Scopus,2-s2.0-85062951358
"Saxena, N., Maurya, L.S.","57210701821; 56031349400","Machine learning based diagnosis and prediction system for congestive heart failure",2019,"International Journal of Innovative Technology and Exploring Engineering",8,"10",,1800,1804,,,10.35940/ijitee.J9190.0881019,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85071224060&partnerID=40&md5=68b264cb22dfa6b7c9e369c42ca0e764",Article,Final,Open Access,Scopus,2-s2.0-85071224060
"Daghistani, T.A., Elshawi, R., Sakr, S., Ahmed, A.M., Al-Thwayee, A., Al-Mallah, M.H.","56986546000; 56507337800; 25031688900; 56640388100; 57205515411; 8570397900","Predictors of in-hospital length of stay among cardiac patients: A machine learning approach",2019,"International Journal of Cardiology",288,"",,140,147,,3,10.1016/j.ijcard.2019.01.046,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85060342165&partnerID=40&md5=f2c88ba3f829feb7f983817b640dd85e",Article,Final,,Scopus,2-s2.0-85060342165
"Ali, M., Sheng, T.K., Yusof, K.M., Suhaili, M.R., Ghazali, N.E., Ali, S.","57210188869; 57210182799; 35148749300; 57201390202; 24775742700; 57202931496","The dynamics of traffic congestion: A specific look into Malaysian scenario and the plausible solutions to eradicate it using machine learning",2019,"Indonesian Journal of Electrical Engineering and Computer Science",15,"2",,1086,1094,,,10.11591/ijeecs.v15.i2.pp1086-1094,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85069866736&partnerID=40&md5=e8f63b1647f4e04cb3b06c5c15883ce5",Article,Final,,Scopus,2-s2.0-85069866736
"Rahman, M.A., Hossen, A., Hossen, J., Venkataseshaiah, C., Bhuvaneswari, T., Sultana, A.","57207376148; 57210185360; 57204371781; 57190854021; 35118568400; 57202133772","Towards machine learning-based self-tuning of hadoop-spark system",2019,"Indonesian Journal of Electrical Engineering and Computer Science",15,"2",,1076,1085,,,10.11591/ijeecs.v15.i2.pp1076-1085,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85069872411&partnerID=40&md5=4ac82c5c3588c48ef1d6bd353930afb8",Article,Final,,Scopus,2-s2.0-85069872411
"Yu, C.-H., Gao, F., Lin, S., Wang, J.","56373827400; 55621493300; 23571122600; 23491054900","Quantum data compression by principal component analysis",2019,"Quantum Information Processing",18,"8", 249,,,,,10.1007/s11128-019-2364-9,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85068579196&partnerID=40&md5=58be3bf4b4923bf09efbfa2b828216bc",Article,Final,,Scopus,2-s2.0-85068579196
"Botcha, V.M., Koll, B.P.","57210726338; 57193800357","Predicting breast cancer using modern data science methodology",2019,"International Journal of Innovative Technology and Exploring Engineering",8,"10",,4444,4446,,,10.35940/ijitee.J1077.0881019,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85071298068&partnerID=40&md5=f8cf80d0ce470f19c0f6cb65e755bdf2",Article,Final,Open Access,Scopus,2-s2.0-85071298068
"Haider, N.S., Singh, B.K., Periyasamy, R., Behera, A.K.","57193856149; 55480042200; 23991096300; 57209582741","Respiratory Sound Based Classification of Chronic Obstructive Pulmonary Disease: a Risk Stratification Approach in Machine Learning Paradigm",2019,"Journal of Medical Systems",43,"8", 255,,,,,10.1007/s10916-019-1388-0,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85068129195&partnerID=40&md5=256bf247a160a69adc55bb8e115edd48",Article,Final,,Scopus,2-s2.0-85068129195
"Baćak, V., Kennedy, E.H.","55901078500; 47962088600","Principled Machine Learning Using the Super Learner: An Application to Predicting Prison Violence",2019,"Sociological Methods and Research",48,"3",,698,721,,1,10.1177/0049124117747301,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85047495701&partnerID=40&md5=6f4384647f394bd9283343a60a1fa663",Article,Final,,Scopus,2-s2.0-85047495701
"Seo, I., Lee, H.","56022683900; 56335508500","Predicting transgenic markers of a neuron by electrophysiological properties using machine learning",2019,"Brain Research Bulletin",150,"",,102,110,,,10.1016/j.brainresbull.2019.05.012,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85066079263&partnerID=40&md5=c96e8b842bcfc67ba9feb4b70c89ad4c",Article,Final,,Scopus,2-s2.0-85066079263
"Noh, Y.-K., Park, J.Y., Choi, B.G., Kim, K.-E., Rha, S.-W.","23095341800; 57001497200; 57192178767; 15053383400; 8569030400","A Machine Learning-Based Approach for the Prediction of Acute Coronary Syndrome Requiring Revascularization",2019,"Journal of Medical Systems",43,"8", 253,,,,,10.1007/s10916-019-1359-5,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85068184886&partnerID=40&md5=cb7a824ea72fcc3911aae56ea6c7b53b",Article,Final,,Scopus,2-s2.0-85068184886
"Oliveira, A.L.","7201929537","Biotechnology, Big Data and Artificial Intelligence",2019,"Biotechnology Journal",14,"8", 1800613,,,,2,10.1002/biot.201800613,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85069828092&partnerID=40&md5=557603aff61d272ca88e98e5da7734f6",Article,Final,,Scopus,2-s2.0-85069828092
"Devi, M., Bhatla, N., Kaur, H.","57210690508; 57210725918; 57210735396","Optimized multi-layer machine learning technique for movement detection and tracking in video data stream",2019,"International Journal of Innovative Technology and Exploring Engineering",8,"10",,1151,1159,,,10.35940/ijitee.J9131.0881019,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85071332031&partnerID=40&md5=c956a715f86d50067940cb6f16cc4114",Article,Final,Open Access,Scopus,2-s2.0-85071332031
"Zheng, T., Chen, G., Wang, X., Chen, C., Wang, X., Luo, S.","57209912889; 57114035800; 7501858663; 56174479100; 36999008300; 57209910118","Real-time intelligent big data processing: technology, platform, and applications",2019,"Science China Information Sciences",62,"8", 82101,,,,,10.1007/s11432-018-9834-8,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85069052528&partnerID=40&md5=1cf4080af03a98f73634b3a7ab691daf",Article,Final,,Scopus,2-s2.0-85069052528
"Du, Y., Gebremedhin, A.H., Taylor, M.E.","57203354379; 6604077189; 10339318000","Analysis of University Fitness Center Data Uncovers Interesting Patterns, Enables Prediction",2019,"IEEE Transactions on Knowledge and Data Engineering",31,"8", 8428483,1478,1490,,,10.1109/TKDE.2018.2863705,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85051385963&partnerID=40&md5=3b85673389b79a1013c4aab3feefa90f",Article,Final,,Scopus,2-s2.0-85051385963
"Feng, C., Yang, D., Hodge, B.-M., Zhang, J.","57193029926; 57210135138; 35757689400; 49962476600","OpenSolar: Promoting the openness and accessibility of diverse public solar datasets",2019,"Solar Energy",188,"",,1369,1379,,,10.1016/j.solener.2019.07.016,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85069596586&partnerID=40&md5=09559f8aa4224fa1c53d904338fac960",[No source information available],Final,,Scopus,2-s2.0-85069596586
"Dresp-Langley, B., Ekseth, O.K., Fesl, J., Gohshi, S., Kurz, M., Sehring, H.-W.","7003682918; 56102773800; 56664455000; 6602394359; 57210423055; 56618685000","Occam's razor for big data? On detecting quality in large unstructured datasets",2019,"Applied Sciences (Switzerland)",9,"15", 3065,,,,,10.3390/app9153065,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85070710971&partnerID=40&md5=a5056f395467e7b0b94d80dfac60b8f7",Review,Final,Open Access,Scopus,2-s2.0-85070710971
"Fu, C.-H., Yang, S.-M., Zhang, Y.","36716149200; 57211072587; 56013505500","Promoted Short-term Traffic Flow Prediction Model Based on Deep Learning and Support Vector Regression | 改进支持向量回归机的短时交通流预测",2019,"Jiaotong Yunshu Xitong Gongcheng Yu Xinxi/Journal of Transportation Systems Engineering and Information Technology",19,"4",,130,134 and 148,,,10.16097/j.cnki.1009-6744.2019.04.019,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85072261658&partnerID=40&md5=125de1dec07dcf6f69b0eb616a9d5813",Article,Final,,Scopus,2-s2.0-85072261658
"Le, T., Vo, B., Fujita, H., Nguyen, N.-T., Baik, S.W.","55513981400; 35147075900; 35611951900; 7403180310; 7102833923","A fast and accurate approach for bankruptcy forecasting using squared logistics loss with GPU-based extreme gradient boosting",2019,"Information Sciences",494,"",,294,310,,3,10.1016/j.ins.2019.04.060,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85065095441&partnerID=40&md5=f4d8e9f06c4d6d9c7ca406ae7254619e",Article,Final,,Scopus,2-s2.0-85065095441
"Alexandrov, B.S., Stanev, V.G., Vesselinov, V.V., Rasmussen, K.Ø.","24474131000; 25650914800; 6602344288; 7402496657","Nonnegative tensor decomposition with custom clustering for microphase separation of block copolymers",2019,"Statistical Analysis and Data Mining",12,"4",,302,310,,,10.1002/sam.11407,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85061839741&partnerID=40&md5=fc5f2dadc302a536418b4d6145ecec69",Article,Final,Open Access,Scopus,2-s2.0-85061839741
"Delatte, D.M., Crites, S.T., Guttenberg, N., Tasker, E.J., Yairi, T.","57210597689; 41561197900; 15135740600; 22136624400; 9744426100","Segmentation Convolutional Neural Networks for Automatic Crater Detection on Mars",2019,"IEEE Journal of Selected Topics in Applied Earth Observations and Remote Sensing",12,"8", 8734854,2944,2957,,,10.1109/JSTARS.2019.2918302,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85072648769&partnerID=40&md5=975acafd8a29f478d2f8cfb1f2777025",Article,Final,,Scopus,2-s2.0-85072648769
"Kadam, V.J., Jadhav, S.M., Vijayakumar, K.","57203944202; 36988053400; 57119224600","Breast Cancer Diagnosis Using Feature Ensemble Learning Based on Stacked Sparse Autoencoders and Softmax Regression",2019,"Journal of Medical Systems",43,"8", 263,,,,2,10.1007/s10916-019-1397-z,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85068787812&partnerID=40&md5=38924e58e529f5a2de15e9dc1a2b2f6b",Article,Final,,Scopus,2-s2.0-85068787812
"Diaz Ochoa, J.G., Weil, F.","57209358297; 57206669582","From personalization to patient centered systems toxicology and pharmacology",2019,"Computational Toxicology",11,"",,14,22,,,10.1016/j.comtox.2019.02.002,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85061818444&partnerID=40&md5=ba03f53a0e32666dd8f72e99c7523237",Short Survey,Final,,Scopus,2-s2.0-85061818444
"Kamley, S.","56906965100","Performance of hybrid ensemble classification techniques for prevalence of heart disease prediction",2019,"International Journal of Innovative Technology and Exploring Engineering",8,"10",,1875,1882,,,10.35940/ijitee.J9233.0881019,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85071304396&partnerID=40&md5=882d197850470abdeb9e112aa7e33692",Article,Final,Open Access,Scopus,2-s2.0-85071304396
"Pandeeswary, P., Janaki, M.","57210724632; 57210768749","Performance analysis of big data classification techniques on diabetes prediction",2019,"International Journal of Innovative Technology and Exploring Engineering",8,"10",,533,537,,,10.35940/ijitee.J8840.0881019,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85071337375&partnerID=40&md5=2550461cdc3335e8360099cd60afe4b8",Article,Final,Open Access,Scopus,2-s2.0-85071337375
"Sivakumar, K., Nithya, N.S., Revathy, O.","57209793939; 56780045100; 57209804440","Phenotype Algorithm based Big Data Analytics for Cancer Diagnose",2019,"Journal of Medical Systems",43,"8", 264,,,,,10.1007/s10916-019-1409-z,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85068795362&partnerID=40&md5=8d09b8789da4a3c614df875d068c1182",Article,Final,,Scopus,2-s2.0-85068795362
"Kumar, N., Sharma, V.","57210728921; 57210735819","A hybrid classification and prediction methodology for the diagonosis of osteoporosis",2019,"International Journal of Innovative Technology and Exploring Engineering",8,"10",,4648,4653,,,10.35940/ijitee.J9868.0881019,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85071296270&partnerID=40&md5=85ea9252e89ba5637d75f279473fa9ce",Article,Final,Open Access,Scopus,2-s2.0-85071296270
"Lambert, J.P.T., Childs, D.Z., Freckleton, R.P.","57197709258; 7103343145; 7003470045","Testing the ability of unmanned aerial systems and machine learning to map weeds at subfield scales: a test with the weed Alopecurus myosuroides (Huds)",2019,"Pest Management Science",75,"8",,2283,2294,,,10.1002/ps.5444,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85066122142&partnerID=40&md5=79f6bb3c1a29a6bbba0372eed2de6093",Article,Final,Open Access,Scopus,2-s2.0-85066122142
"Jackson, G., Hu, J.","35146194100; 57210945275","Artificial Intelligence in Health in 2018: New Opportunities, Challenges, and Practical Implications",2019,"Yearbook of medical informatics",28,"1",,52,54,,,10.1055/s-0039-1677925,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85071986289&partnerID=40&md5=0b625f0ebe71c0e5a5855477dbe71ebd",Article,Final,Open Access,Scopus,2-s2.0-85071986289
"Asai, S., Phuong, D.T.D., Harada, F., Shimakawa, H.","57209291400; 35729137300; 7004835702; 8529351700","Predicting cognitive load in acquisition of programming abilities",2019,"International Journal of Electrical and Computer Engineering",9,"4",,3262,3271,,,10.11591/ijece.v9i4.pp3262-3271,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85067249694&partnerID=40&md5=1cb28b226601a1646401b6b36e19710e",Article,Final,,Scopus,2-s2.0-85067249694
"Dachena, C., Casu, S., Fanti, A., Lodi, M.B., Mazzarella, G.","57206901870; 56950390600; 36664325500; 57208114960; 7006097620","Combined use of MRI, fMRIand cognitive data for Alzheimer's Disease: Preliminary results",2019,"Applied Sciences (Switzerland)",9,"15", 3156,,,,,10.3390/app9153156,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85070768041&partnerID=40&md5=0d83e42a5ed4f744adb501da4d5a78df",Article,Final,Open Access,Scopus,2-s2.0-85070768041
"Hafezi, M.H., Liu, L., Millward, H.","15922610100; 57199084501; 7004606829","A time-use activity-pattern recognition model for activity-based travel demand modeling",2019,"Transportation",46,"4",,1369,1394,,4,10.1007/s11116-017-9840-9,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85034610969&partnerID=40&md5=1f61cd72fd9354950a577a7a9a3f46e2",Article,Final,Open Access,Scopus,2-s2.0-85034610969
"Chen, G.-Y., Gan, M., Ding, F., Chen, C.L.P.","57200787528; 57208454607; 26535684200; 47861886300","Modified Gram-Schmidt Method-Based Variable Projection Algorithm for Separable Nonlinear Models",2019,"IEEE Transactions on Neural Networks and Learning Systems",30,"8", 8588317,2410,2418,,14,10.1109/TNNLS.2018.2884909,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85058809129&partnerID=40&md5=3cea53098758c2fd3ff3fb4cd8916506",Article,Final,,Scopus,2-s2.0-85058809129
"Tao, J.-H., Huang, J., Li, Y., Lian, Z., Niu, M.-Y.","55898465800; 57199286409; 55719143200; 57197854713; 57204431493","Semi-supervised Ladder Networks for Speech Emotion Recognition",2019,"International Journal of Automation and Computing",16,"4",,437,448,,,10.1007/s11633-019-1175-x,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85069444850&partnerID=40&md5=98c3f5dfb6c6e5baa3ea961fdb007274",Article,Final,,Scopus,2-s2.0-85069444850
"Henstock, P.V.","7801589406","Artificial Intelligence for Pharma: Time for Internal Investment",2019,"Trends in Pharmacological Sciences",40,"8",,543,546,,1,10.1016/j.tips.2019.05.003,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85067196279&partnerID=40&md5=6fd6ade2725c0d0207fc353690613600",Short Survey,Final,,Scopus,2-s2.0-85067196279
"Muthukumaran, S., Geetha, P., Ramaraj, E.","56765599800; 57196105201; 14044036800","Inquiry of personal intelligence of adolescence and early adulthood college students of tamilnadu using Id3 algorithm",2019,"International Journal of Innovative Technology and Exploring Engineering",8,"10",,1160,1165,,,10.35940/ijitee.J9136.0881019,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85071298100&partnerID=40&md5=0d785fc9ecf06cc79794d4001555d2a7",Article,Final,Open Access,Scopus,2-s2.0-85071298100
"Bajpai, A.K., Pandey, R., Tripathi, S.P.","57210292927; 55823761500; 57210285615","Mapping provenance model to e-learning ontology",2019,"International Journal of Innovative Technology and Exploring Engineering",8,"10",,857,863,,,10.35940/ijitee.J9041.0881019,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85071294091&partnerID=40&md5=dc95dd777fead59a84b0003f8d4b02c5",Article,Final,Open Access,Scopus,2-s2.0-85071294091
"Dayananda, S., Astor, T., Wijesingha, J., Thimappa, S.C., Chowdappa, H.D., Mudalagiriyappa, Nidamanuri, R.R., Nautiyal, S., Wachendorf, M.","57202233322; 57205148191; 55789738300; 57210361196; 57210360208; 7409803812; 35743520500; 7003824834; 6601980015","Multi-temporal monsoon crop biomass estimation using hyperspectral imaging",2019,"Remote Sensing",11,"15", 1771,,,,,10.3390/rs11151771,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85070472411&partnerID=40&md5=38b581a0bdfbbd42d86428ab97a25a3c",Article,Final,Open Access,Scopus,2-s2.0-85070472411
"Pal, A.R., Saha, D., Dash, N.S., Naskar, S.K., Pal, A.","19837038800; 8675512600; 56347321600; 17435322800; 57203763150","A novel approach to word sense disambiguation in Bengali language using supervised methodology",2019,"Sadhana - Academy Proceedings in Engineering Sciences",44,"8", 181,,,,,10.1007/s12046-019-1165-2,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85069201591&partnerID=40&md5=616df7c365e91f2a8444d57b7f2ee5a5",Article,Final,,Scopus,2-s2.0-85069201591
"Benevenuta, S., Fariselli, P.","57210789290; 7004658043","On the Upper Bounds of the Real-Valued Predictions",2019,"Bioinformatics and Biology Insights",13,"",,,,,,10.1177/1177932219871263,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85071727949&partnerID=40&md5=94b6a1d43cee878afd35392019e9b3e9",Note,Final,Open Access,Scopus,2-s2.0-85071727949
"Thiébaut, R., Cossin, S.","57210942740; 55561443900","Artificial Intelligence for Surveillance in Public Health",2019,"Yearbook of medical informatics",28,"1",,232,234,,,10.1055/s-0039-1677939,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85071975660&partnerID=40&md5=09481707fa2208486135d129cb061f36",Article,Final,Open Access,Scopus,2-s2.0-85071975660
"Deshwal, D., Sangwan, P., Kumar, D.","57208446150; 57208440829; 57208571655","Feature Extraction Methods in Language Identification: A Survey",2019,"Wireless Personal Communications",107,"4",,2071,2103,,,10.1007/s11277-019-06373-3,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85064806117&partnerID=40&md5=d1155e7ea49888b8ebdb5c7f6cff4f36",Review,Final,,Scopus,2-s2.0-85064806117
"Le, H.-V., Ngo, Q.-D., Le, V.-H.","57210734571; 56118939900; 57210773724","Iot botnet detection using system call graphs and one-class CNN classification",2019,"International Journal of Innovative Technology and Exploring Engineering",8,"10",,937,942,,,10.35940/ijitee.J9091.0881019,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85071292494&partnerID=40&md5=11a66ac723e3ac28c3dcbee4e4d189cd",Article,Final,Open Access,Scopus,2-s2.0-85071292494
