Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Document Type,Publication Stage,Access Type,Source,EID
"Wagner, N., Rondinelli, J.M.","57203578651; 14038210000","Theory-guided machine learning in materials science",2016,"Frontiers in Materials",3,"", 28,,,,20,10.3389/fmats.2016.00028,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85050764008&partnerID=40&md5=47665f61989d323f7c6fafdb46088bb0",Article,Final,Open Access,Scopus,2-s2.0-85050764008
"Weese, J.L., Hsu, W.H.","57162595300; 7402002968","Work in progress: Data explorer - Assessment data integration, analytics, and visualization for STEM education research",2016,"ASEE Annual Conference and Exposition, Conference Proceedings",2016-June,"",,,,,,,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84983304264&partnerID=40&md5=861da24c3c1045d2c961858895221002",Conference Paper,Final,,Scopus,2-s2.0-84983304264
"Cui, S., Wang, Y., Li, L., Peng, X., Yalvac, B.","7202413917; 55733817800; 56820500900; 35270024100; 6508286675","Introducing high-performance computing to undergraduate students",2016,"ASEE Annual Conference and Exposition, Conference Proceedings",2016-June,"",,,,,2,,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84983339513&partnerID=40&md5=ed83004f3e35771dd268fb2e92c98280",Conference Paper,Final,,Scopus,2-s2.0-84983339513
"Kapur, A., Marwah, K., Alterovitz, G.","56446472500; 54916869700; 6505925601","Gene expression prediction using low-rank matrix completion",2016,"BMC Bioinformatics",17,"1", 243,,,,12,10.1186/s12859-016-1106-6,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84975166325&partnerID=40&md5=ce8986d29fbe8a7886c18f91b9507301",Article,Final,Open Access,Scopus,2-s2.0-84975166325
"Zhang, Z., Yang, Q., Leng, Y., Yang, Y., Ge, S.","56494341100; 56875020800; 56494156800; 55615859900; 55245829900","Classification of intention understanding using EEG-NIRS bimodal system",2016,"2015 12th International Computer Conference on Wavelet Active Media Technology and Information Processing, ICCWAMTIP 2015",,"", 7493908,67,70,,,10.1109/ICCWAMTIP.2015.7493908,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84978879668&partnerID=40&md5=8beaaf313445992fe067569fdc402337",Conference Paper,Final,,Scopus,2-s2.0-84978879668
"Zhitomirsky-Geffet, M., David, E., Koppel, M., Uzan, H.","25825790600; 56251493100; 6604038869; 57202578707","Utilizing overtly political texts for fully automatic evaluation of political leaning of online news websites",2016,"Online Information Review",40,"3",,362,379,,1,10.1108/OIR-06-2015-0211,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84971301600&partnerID=40&md5=d0dae011949d95d13ece42aa35f7b361",Article,Final,,Scopus,2-s2.0-84971301600
"Li, H., Zhang, B., Shuai, B., Wang, J., Tang, C.","57196364864; 56237767400; 55264671700; 25631397600; 7404394649","Automatic protocol feature word construction based on machine learning",2016,"Proceedings of 2015 IEEE International Conference on Progress in Informatics and Computing, PIC 2015",,"", 7489816,93,97,,,10.1109/PIC.2015.7489816,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84979700800&partnerID=40&md5=81b8d5b662037a255896998c80cf950f",Conference Paper,Final,,Scopus,2-s2.0-84979700800
"Jadhav, S., Suryawanshi, S.","57190336065; 57190340623","Knowledge acquisition using parallel rough set and mapreduce from big data",2016,"Proceedings - IEEE International Conference on Information Processing, ICIP 2015",,"", 7489343,16,20,,1,10.1109/INFOP.2015.7489343,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84979300169&partnerID=40&md5=2e226878cda1d502399b6f8bd34fdc83",Conference Paper,Final,,Scopus,2-s2.0-84979300169
"Zeng, J., Shi, S., Yang, X., Li, Y., Lu, Q., Qiu, X., Zhu, H.","36563010500; 57201575973; 56434892100; 56313965400; 57201515826; 57190393999; 55639874400","Audio recorder forensic identification in 21 audio recorders",2016,"Proceedings of 2015 IEEE International Conference on Progress in Informatics and Computing, PIC 2015",,"", 7489828,153,157,,1,10.1109/PIC.2015.7489828,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84979695794&partnerID=40&md5=9d2709c62139996c21596098f81184d9",Conference Paper,Final,,Scopus,2-s2.0-84979695794
"Padmaja, B., Prasad, V.V.R., Sunitha, K.V.N.","56135179800; 56506389400; 12789729100","Use of reality mining dataset for human behavior analysis - A survey",2016,"Proceedings - 2016 International Conference on Information Systems Engineering, ICISE 2016",,"", 7486211,38,42,,1,10.1109/ICISE.2016.16,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84978513084&partnerID=40&md5=3e547d625811adb427eae35db0e117f7",Conference Paper,Final,,Scopus,2-s2.0-84978513084
"Vahdat, M., Oneto, L., Anguita, D., Funk, M., Rauterberg, M.","56333313400; 41262130900; 7004764744; 24468097500; 6701479494","Can machine learning explain human learning?",2016,"Neurocomputing",192,"",,14,28,,11,10.1016/j.neucom.2015.11.100,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84977934930&partnerID=40&md5=d6eba361a7a0579262f81c6ce59c1f68",Article,Final,,Scopus,2-s2.0-84977934930
"Holzinger, A.","23396282000","Interactive machine learning for health informatics: when do we need the human-in-the-loop?",2016,"Brain Informatics",3,"2",,119,131,,170,10.1007/s40708-016-0042-6,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85048560245&partnerID=40&md5=fae8a6a9368a5b862c87bd0f535bb4c9",Article,Final,Open Access,Scopus,2-s2.0-85048560245
"Xue, J., Yan, F., Riska, A., Smirni, E.","57188654190; 50862222500; 35609248400; 6603711126","Scheduling data analytics work with performance guarantees: queuing and machine learning models in synergy",2016,"Cluster Computing",19,"2",,849,864,,1,10.1007/s10586-016-0563-z,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84964255536&partnerID=40&md5=acca8c4368e7dca31429cb233b2f1a8a",Article,Final,,Scopus,2-s2.0-84964255536
"Arcelli Fontana, F., Mäntylä, M.V., Zanoni, M., Marino, A.","6601971118; 7006843663; 56599129300; 55987947800","Comparing and experimenting machine learning techniques for code smell detection",2016,"Empirical Software Engineering",21,"3",,1143,1191,,55,10.1007/s10664-015-9378-4,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84930531514&partnerID=40&md5=c492b9035184d3350948884b32cd0361",Article,Final,,Scopus,2-s2.0-84930531514
"Shamir, L., Diamond, D., Wallin, J.","8906230500; 56803319500; 7101605835","Leveraging Pattern Recognition Consistency Estimation for Crowdsourcing Data Analysis",2016,"IEEE Transactions on Human-Machine Systems",46,"3", 7214278,474,480,,7,10.1109/THMS.2015.2463082,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84940191202&partnerID=40&md5=f81beae612413d9476fc83788009b44a",Article,Final,,Scopus,2-s2.0-84940191202
"Xu, Y., Chen, M., Yang, Z., Li, G.","54988325600; 56962946000; 56431525200; 55713912300","ν-twin support vector machine with Universum data for classification",2016,"Applied Intelligence",44,"4",,956,968,,5,10.1007/s10489-015-0736-0,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84950248791&partnerID=40&md5=d91e5d4301570aaee17cebd14bf23b6d",Article,Final,,Scopus,2-s2.0-84950248791
"Johnson, B.D.","55474630700","Science Fiction and the Coming Age of Sentient Tools",2016,"Computer",49,"6", 7490322,95,97,,3,10.1109/MC.2016.171,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84976540745&partnerID=40&md5=97354173022d27b1c418b907590d830b",Article,Final,,Scopus,2-s2.0-84976540745
"Liu, Z., Yang, J., Liu, H., Wang, W.","57189496379; 9737323800; 56125442700; 56948629600","Human behavioral recognition based semi-supervised learning",2016,"ICIC Express Letters, Part B: Applications",7,"6",,1193,1199,,,,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84971382084&partnerID=40&md5=a822faab958ceee66f88690c7622e61a",Article,Final,,Scopus,2-s2.0-84971382084
"Vidyullatha, P., Rajeswara Rao, D.","56586053000; 57201479001","Machine learning techniques on multidimensional curve fitting data based on r- square and chi-square methods",2016,"International Journal of Electrical and Computer Engineering",6,"3",,974,979,,2,10.11591/ijece.v6i3.9155,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84979200807&partnerID=40&md5=7a9ecf11267bcdc34b76a59ba5b8cd1d",Article,Final,Open Access,Scopus,2-s2.0-84979200807
"Nika, A., Ismail, A., Zhao, B.Y., Gaito, S., Rossi, G.P., Zheng, H.","54891528100; 55479301000; 7403058954; 9636090900; 35194784700; 7403440632","Understanding and Predicting Data Hotspots in Cellular Networks",2016,"Mobile Networks and Applications",21,"3",,402,413,,6,10.1007/s11036-015-0648-6,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84944705018&partnerID=40&md5=45497be869a5fb9bc2d69da70fc4d759",Article,Final,,Scopus,2-s2.0-84944705018
"Amsaleg, L., Bailey, J., Erfani, S., Furon, T., Houle, M.E., Radovanović, M., Vinh, N.X.","6602784166; 7404350735; 54791054200; 6603363865; 7004045789; 14626806500; 26327053300","The vulnerability of learning to adversarial perturbation increases with intrinsic dimensionality",2016,"NII Technical Reports",,"5",,1,15,,,,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84979498479&partnerID=40&md5=2d50bdc9b598781871a81b78d8862cac",Article,Final,,Scopus,2-s2.0-84979498479
"Kulin, M., Fortuna, C., De Poorter, E., Deschrijver, D., Moerman, I.","55337830300; 25122210000; 23396863400; 8209977700; 7005875225","Data-driven design of intelligentwireless networks: An overview and tutorial",2016,"Sensors (Switzerland)",16,"6", 790,,,,21,10.3390/s16060790,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84971673833&partnerID=40&md5=2a5f8a450c663a7eef56f9f4b95acec4",Article,Final,Open Access,Scopus,2-s2.0-84971673833
"Fang, R., Pouyanfar, S., Yang, Y., Chen, S.-C., Iyengar, S.S.","36720287600; 56152448000; 51462262100; 7410254440; 57204520228","Computational health informatics in the big data age: A survey",2016,"ACM Computing Surveys",49,"1", 12,,,,61,10.1145/2932707,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84975077478&partnerID=40&md5=281404b7fbe0bb1c1fc03d1aaf769b04",Review,Final,,Scopus,2-s2.0-84975077478
"Cen, L., Ruta, D., Powell, L., Hirsch, B., Ng, J.","56238640900; 56259544800; 56008287500; 8853641700; 7202427243","Quantitative approach to collaborative learning: performance prediction, individual assessment, and group composition",2016,"International Journal of Computer-Supported Collaborative Learning",11,"2",,187,225,,19,10.1007/s11412-016-9234-6,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84966699856&partnerID=40&md5=c72bed3797e0470c7990e6af1172020e",Article,Final,,Scopus,2-s2.0-84966699856
"Lu, X., Wang, Y., Zhou, X., Ling, Z.","55964663300; 55989014900; 55428743600; 23975185000","A Method for Metric Learning with Multiple-Kernel Embedding",2016,"Neural Processing Letters",43,"3",,905,921,,8,10.1007/s11063-015-9444-3,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84930922217&partnerID=40&md5=48aca78058165bf9bc5a929560be3ea2",Article,Final,,Scopus,2-s2.0-84930922217
"Walkinshaw, N., Taylor, R., Derrick, J.","24179084700; 25653366500; 57201262361","Inferring extended finite state machine models from software executions",2016,"Empirical Software Engineering",21,"3",,811,853,,36,10.1007/s10664-015-9367-7,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84925003128&partnerID=40&md5=85a22c22404fae5c5956f3beab419072",Article,Final,,Scopus,2-s2.0-84925003128
"Sîrbu, A., Babaoglu, O.","35622427700; 35599124900","Towards operator-less data centers through data-driven, predictive, proactive autonomics",2016,"Cluster Computing",19,"2",,865,878,,6,10.1007/s10586-016-0564-y,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84964297924&partnerID=40&md5=d26758a08808ece71ea6f538d63db3f1",Article,Final,,Scopus,2-s2.0-84964297924
"Bozhkov, L., Koprinkova-Hristova, P., Georgieva, P.","56337382200; 6603652159; 6701326860","Learning to decode human emotions with Echo State Networks",2016,"Neural Networks",78,"",,112,119,,18,10.1016/j.neunet.2015.07.005,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84966400967&partnerID=40&md5=3195b15bdbd73182667df90dab6a7b5b",Article,Final,,Scopus,2-s2.0-84966400967
"Liu, D., Xu, M., Niu, D., Wang, S., Liang, S.","56068235400; 55519747200; 7006150871; 57189875327; 36453970600","Forecast modelling via variations in binary image-encoded information exploited by deep learning neural networks",2016,"PLoS ONE",11,"6", e0157028,,,,,10.1371/journal.pone.0157028,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84975452447&partnerID=40&md5=1fdfa0ba44c9f43201d839bdd1981b97",Article,Final,Open Access,Scopus,2-s2.0-84975452447
"Drakakis, G., Moledina, S., Chomenidis, C., Doganis, P., Sarimveis, H.","55832329400; 57189685819; 56974419900; 8626770000; 7003749389","Decision trees for continuous data and conditional mutual information as a criterion for splitting instances",2016,"Combinatorial Chemistry and High Throughput Screening",19,"5",,423,428,,1,10.2174/1386207319666160414105217,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84974621141&partnerID=40&md5=f04fc362adc3eea0dc35c938cde732cd",Article,Final,,Scopus,2-s2.0-84974621141
"He, J., Wu, D., Xiong, N., Wu, C.","55978290700; 57044339900; 35231569200; 55817151100","Orthogonal margin discriminant projection for dimensionality reduction",2016,"Journal of Supercomputing",72,"6",,2095,2110,,3,10.1007/s11227-015-1453-5,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84930532047&partnerID=40&md5=64a29cc3d7d63edd2a7ae6486211e0c7",Article,Final,,Scopus,2-s2.0-84930532047
"Fire, M., Puzis, R.","54919399500; 55992152200","Organization Mining Using Online Social Networks",2016,"Networks and Spatial Economics",16,"2",,545,578,,11,10.1007/s11067-015-9288-4,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84928406030&partnerID=40&md5=2225c7415571dc5d2b0db070d4e41cdc",Article,Final,,Scopus,2-s2.0-84928406030
"Hazaa, M.A.S., Omar, N., Ba-Alwi, F.M., Albared, M.","35219000700; 23397755200; 57190342239; 35174276600","Automatic extraction of Malay compound nouns using a hybrid of statistical and machine learning methods",2016,"International Journal of Electrical and Computer Engineering",6,"3",,925,935,,8,10.11591/ijece.v6i3.9663,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84979205194&partnerID=40&md5=510e26e793dd12c65ab78d568e989237",Article,Final,Open Access,Scopus,2-s2.0-84979205194
"Li, W., Liu, H., Yang, P., Xie, W.","24073547100; 26660676100; 57208888326; 57191583099","Supporting regularized logistic regression privately and efficiently",2016,"PLoS ONE",11,"6", e0156479,,,,11,10.1371/journal.pone.0156479,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84974662989&partnerID=40&md5=216bfd3bac83293da1c5f0e9291574d6",Article,Final,Open Access,Scopus,2-s2.0-84974662989
"Goldstein, A., Shahar, Y.","56024958500; 7004583134","An automated knowledge-based textual summarization system for longitudinal, multivariate clinical data",2016,"Journal of Biomedical Informatics",61,"",,159,175,,6,10.1016/j.jbi.2016.03.022,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84962704669&partnerID=40&md5=3e52fcf97810bc5d7207dc9f199feb4c",Article,Final,Open Access,Scopus,2-s2.0-84962704669
"Ho, T.-B., Le, L., Thai, D.T., Taewijit, S.","24472876700; 56045128800; 57190193609; 36663170900","Data-driven approach to detect and predict adverse drug reactions",2016,"Current Pharmaceutical Design",22,"23",,3498,3526,,12,10.2174/1381612822666160509125047,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84978252793&partnerID=40&md5=0b79a705bf19ece848f3725fd2638a93",Review,Final,,Scopus,2-s2.0-84978252793
"Narayanan, S.J., Priya, V., Perumal, B., Ramani, S.","56344049500; 56441379500; 57189574501; 57193197344","An empirical study of fuzzy decision trees for predicting the patients medical behaviour",2016,"International Journal of Pharmacy and Technology",8,"2",,12984,12993,,,,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84978484300&partnerID=40&md5=50085fcfda6a413c388712271d658dc0",Article,Final,,Scopus,2-s2.0-84978484300
"Blythe, D.A.J., Király, F.J.","55669672000; 54380389800","Prediction and quantification of individual athletic performance of runners",2016,"PLoS ONE",11,"6", e0157257,,,,2,10.1371/journal.pone.0157257,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84976554746&partnerID=40&md5=0913a3ea8fb8743ff1ba3617d91f40d5",Article,Final,Open Access,Scopus,2-s2.0-84976554746
[No author name available],[No author name available],"6th International Conference on Information Science and Technology, ICIST 2016",2016,"6th International Conference on Information Science and Technology, ICIST 2016",,"",,,,,,,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84978196521&partnerID=40&md5=417a7ae5b8cebb00ce31874592d887b1",Conference Review,Final,,Scopus,2-s2.0-84978196521
"Masarat, S., Sharifian, S., Taheri, H.","56483254400; 24179033900; 6601980044","Modified parallel random forest for intrusion detection systems",2016,"Journal of Supercomputing",72,"6",,2235,2258,,6,10.1007/s11227-016-1727-6,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84965036427&partnerID=40&md5=0af0e263fb875bea2f7e8af35a577d1a",Article,Final,,Scopus,2-s2.0-84965036427
"Abebe, S.L., Ali, N., Hassan, A.E.","26667491200; 49860962200; 7402686972","An empirical study of software release notes",2016,"Empirical Software Engineering",21,"3",,1107,1142,,6,10.1007/s10664-015-9377-5,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84928629842&partnerID=40&md5=5c319c497b54cb4c33446d75ef0dba51",Article,Final,,Scopus,2-s2.0-84928629842
"Varouqa, M., Hammo, B.","56672973200; 56129380500","WIT: Weka interface translator",2016,"International Journal of Speech Technology",19,"2",,359,371,,,10.1007/s10772-015-9283-7,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84930607876&partnerID=40&md5=e89be1e7ea166e849f5e4d43f04fad32",Article,Final,,Scopus,2-s2.0-84930607876
"Wang, S.-J., Li, M.-C.","55992222900; 26643597800","Impacts of Predictive Genomic Classifier Performance on Subpopulation-Specific Treatment Effects Assessment",2016,"Statistics in Biosciences",8,"1",,129,158,,3,10.1007/s12561-013-9092-y,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84878413342&partnerID=40&md5=accbb2ac61fedfca117fcd5382f2dd4e",Article,Final,,Scopus,2-s2.0-84878413342
"Hegedũs, I., Berta, Á., Jelasity, M.","56464889800; 56990816900; 12804280100","Robust decentralized differentially private stochastic gradient descent",2016,"Journal of Wireless Mobile Networks, Ubiquitous Computing, and Dependable Applications",7,"2",,20,40,,3,,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84978431950&partnerID=40&md5=4c9cf78ae975c3e9d6a5b645bc50bfb7",Article,Final,,Scopus,2-s2.0-84978431950
"Mason, R.A., Just, M.A.","35610316400; 7101650446","Neural Representations of Physics Concepts",2016,"Psychological Science",27,"6",,904,913,,24,10.1177/0956797616641941,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84983032385&partnerID=40&md5=5d1726a7b7297d6932855abc1e6505d9",Article,Final,,Scopus,2-s2.0-84983032385
"Saini, D., Saxena, A.","57193503417; 56900443900","Electric price forecast using interbreed approach of linear regression and SVM",2016,"Indonesian Journal of Electrical Engineering and Computer Science",2,"3",,537,544,,1,10.11591/ijeecs.v2.i3.pp537-544,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85014419310&partnerID=40&md5=51736ef39b0998049b97b586dbc35910",Article,Final,Open Access,Scopus,2-s2.0-85014419310
[No author name available],[No author name available],"2016 Electric Electronics, Computer Science, Biomedical Engineerings Meeting, EBBT 2016",2016,"2016 Electric Electronics, Computer Science, Biomedical Engineerings Meeting, EBBT 2016",,"",,,,,,,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84978255343&partnerID=40&md5=a00f618f8229a47fa49aa8812c796bd7",Conference Review,Final,,Scopus,2-s2.0-84978255343
"Nishio, N., Sutcliffe, R.F.E.","36466819600; 8878266300","Opera goer or Scrabble player: what makes a good translator?",2016,"Machine Translation",30,"1-2",,63,109,,,10.1007/s10590-016-9189-4,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85011297004&partnerID=40&md5=c8f44a00d89dd251e2c3a64d886ef42a",Article,Final,,Scopus,2-s2.0-85011297004
"Bai, Y.-Q., Shen, K.-J.","24537107600; 56094916800","Alternating Direction Method of Multipliers for ℓ<inf>1</inf>- ℓ<inf>2</inf> -Regularized Logistic Regression Model",2016,"Journal of the Operations Research Society of China",4,"2",,243,253,,5,10.1007/s40305-015-0090-2,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84971268465&partnerID=40&md5=081fa298835bb287413792ca91919fe0",Article,Final,,Scopus,2-s2.0-84971268465
"Xu, H.J., Pan, P., Xu, C.Y., Lu, Y.S., Chen, D.","56160926400; 55230967500; 55878062700; 55595513600; 56161038600","Image auto-annotation via concept interdependency network",2016,"Multimedia Tools and Applications",75,"11",,6237,6261,,2,10.1007/s11042-015-2568-7,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84976294031&partnerID=40&md5=9009ee8080128a6c7d8b13c4ae6b5da5",Article,Final,,Scopus,2-s2.0-84976294031
"Le, D.-H., Le, L.","37088935600; 56045128800","Systems pharmacology: A unified framework for prediction of drug-target interactions",2016,"Current Pharmaceutical Design",22,"23",,3569,3575,,10,10.2174/1381612822666160418121534,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84978288954&partnerID=40&md5=0f4cfe05ebe9c2f4306dc4c494744a4c",Review,Final,,Scopus,2-s2.0-84978288954
"Pourreza, A., Lee, W.S., Ritenour, M.A., Roberts, P.","55390722300; 57189999612; 6602883066; 36182990900","Spectral characteristics of citrus black spot disease",2016,"HortTechnology",26,"3",,254,260,,5,,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84976393638&partnerID=40&md5=fbf27a1d56f6adc87fc82790a3fd2d27",Article,Final,,Scopus,2-s2.0-84976393638
"Mladenović, M., Mitrović, J., Krstev, C., Vitas, D.","55890742200; 55890479800; 7801364908; 6506362231","Hybrid sentiment analysis framework for a morphologically rich language",2016,"Journal of Intelligent Information Systems",46,"3",,599,620,,10,10.1007/s10844-015-0372-5,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84939250784&partnerID=40&md5=a35b544895d5c0ca695ec3025bd68dc3",Article,Final,,Scopus,2-s2.0-84939250784
"Ekmekci, B., McAnany, C.E., Mura, C.","57190279005; 56304979600; 7006216097","An Introduction to Programming for Bioscientists: A Python-Based Primer",2016,"PLoS Computational Biology",12,"6", e1004867,,,,12,10.1371/journal.pcbi.1004867,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84978886780&partnerID=40&md5=4396d4c8f3742eec845ee1f71d6c7944",Article,Final,Open Access,Scopus,2-s2.0-84978886780
"Mankad, S., Han, H.S., Goh, J., Gavirneni, S.","55907213000; 55316774800; 36439524900; 6701537133","Understanding online hotel reviews through automated text analysis",2016,"Service Science",8,"2",,124,138,,21,10.1287/serv.2016.0126,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85031725575&partnerID=40&md5=d5557d7ea541ab29dc34357300560ef5",Conference Paper,Final,,Scopus,2-s2.0-85031725575
"Kravvaris, D., Kermanidis, K.L., Ntanis, G.","54397139000; 23090984000; 55902218800","How MOOCs Link with Social Media",2016,"Journal of the Knowledge Economy",7,"2",,461,487,,3,10.1007/s13132-014-0219-2,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84964937677&partnerID=40&md5=f4e70b82e063806595c2da0868016a4c",Article,Final,,Scopus,2-s2.0-84964937677
"Baiardi, F., Tonelli, F., Isoni, L.","6701529379; 56001104700; 55537423100","Application vulnerabilities in risk assessment and management",2016,"Journal of Wireless Mobile Networks, Ubiquitous Computing, and Dependable Applications",7,"2",,41,59,,9,,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84978376857&partnerID=40&md5=b4c072c500804a423815008f288f2853",Article,Final,,Scopus,2-s2.0-84978376857
"Zeng, X., Ding, N., Rodríguez-Patón, A., Lin, Z., Ju, Y.","24069487700; 56498583700; 8882795400; 9635212700; 14519419000","Prediction of MicroRNA–disease associations by matrix completion",2016,"Current Proteomics",13,"2",,151,157,,7,10.2174/157016461302160514005711,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84973664378&partnerID=40&md5=4ce37d694766c36c384d5211d128d9aa",Article,Final,,Scopus,2-s2.0-84973664378
"Xia, F., Lewis, W.D., Goodman, M.W., Slayden, G., Georgi, R., Crowgey, J., Bender, E.M.","55724398600; 56043409100; 55191163400; 56879021400; 52163456000; 56403282900; 8297767800","Enriching a massively multilingual database of interlinear glossed text",2016,"Language Resources and Evaluation",50,"2",,321,349,,4,10.1007/s10579-015-9325-4,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84955253092&partnerID=40&md5=f321bfa4204896a1bd026717c55fe210",Article,Final,,Scopus,2-s2.0-84955253092
"Dinov, I.D., Siegrist, K., Pearl, D.K., Kalinin, A., Christou, N.","6603200380; 7004677332; 7005976523; 56701977200; 7005344803","Probability Distributome: a web computational infrastructure for exploring the properties, interrelations, and applications of probability distributions",2016,"Computational Statistics",31,"2",,559,577,,2,10.1007/s00180-015-0594-6,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84933565296&partnerID=40&md5=4b8627202c92cd6185b43e1396880b43",Article,Final,,Scopus,2-s2.0-84933565296
"Han, S.C., Liang, Y., Chung, H., Kim, H., Kang, B.H.","55361191400; 56706696000; 55520481300; 56981397100; 7401684499","Chinese trending search terms popularity rank prediction",2016,"Information Technology and Management",17,"2",,133,139,,,10.1007/s10799-015-0238-0,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84934780338&partnerID=40&md5=0e1b55b60cfb871b9f0ed30eee713348",Article,Final,,Scopus,2-s2.0-84934780338
"Dai, X.-A., Guo, S.-H., Ren, Y., Yang, X.-X., Liu, H.-H.","24449282600; 57189377061; 57203596733; 55683851500; 9240308700","Hyperspectral remote sensing image chassification using the stacked sparse autoencoder",2016,"Dianzi Keji Daxue Xuebao/Journal of the University of Electronic Science and Technology of China",45,"3",,382,386,,8,10.3969/j.issn.1001-0548.2016.02.012,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84970021357&partnerID=40&md5=674aa4f0570ce08cee2ee74da097b40e",Article,Final,,Scopus,2-s2.0-84970021357
"Feldhorst, S., ten Hompel, M.","35760905100; 14057171000","Motion classification of the order picking process using mobile sensors | Bewegungsklassifikation mithilfe mobiler sensoren zur analyse des kommissionierprozesses",2016,"Logistics Journal",2016,"",,,,,,10.2195/lj_Proc_feldhorst_de_201605_01,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84975297744&partnerID=40&md5=f6f8072b5d15107dfc3c391846b32ca1",Article,Final,,Scopus,2-s2.0-84975297744
"Kavitha, R., Christopher, T.","57203438498; 55857470000","Classification of Heart Rate data using BFO-KFCM clustering and improved extreme learning machine classifier",2016,"2016 International Conference on Computer Communication and Informatics, ICCCI 2016",,"", 7479978,,,,,10.1109/ICCCI.2016.7479978,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84978028199&partnerID=40&md5=a3af91c985ff12495a8e2f9a228babbc",Conference Paper,Final,,Scopus,2-s2.0-84978028199
"Biju, V.G., Prashant, C.M.","57190167356; 57190170033","Data linearity using Kernel PCA with Performance Evaluation of Random Forest for training data: A machine learning approach",2016,"2016 International Conference on Computer Communication and Informatics, ICCCI 2016",,"", 7479924,,,,,10.1109/ICCCI.2016.7479924,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84978112696&partnerID=40&md5=470c6da696c5f7dcbd854b982adda5ef",Conference Paper,Final,,Scopus,2-s2.0-84978112696
